21111_1R2__1 *2L*2_FF F^_LFRFF
1*L*F121^L1_ *2LF2L2^ FR^FF^L*
1*L*1^21^L1_ *2LF2L2^ FR^FF^L*
1*L*1^21^L1_ *2LF2L2^ FR^FF^L*
1*L*1^21^L1_ *2LF2L2^ FR^FF^L*
1*L*1^21FL1_ *2LF2L2^ FR^FF^L*
1*L*_121^L1_ ^2LF2L2^ FR^FF^L*
1*L*1_21^R1_ *2LF2L2^ FR^FF^L*
1*L*2121^L1_ *2LF2L2^ FR^FF^L*
1*L**121FL2_ *2LF2L2^ FR^FF^L*
21L*1_122121 __2L2^L2 ^FR^FF*L
2*L21_121^L1 _*2LF2L2 FR^FF*L^
2*L*111212L1 2*2L_2L2 FR^FFL*^
2*L21_1212L1 _*2L_2L2 FR^FFL*^
2*L21_12F*R1 _*2L_2L2 FR^FFL*^
2*L21_12F*R1 _*2L_2L2 FR^FFL*^
2*L21_12F*R1 _*2L_2L2 FR^FFL*^
2*L21_12F*R1 _*2L_2L2 FR^FFL*^
2*L21_12F*R1 _*2L_2L2 FR^FFL*^
2*L*1_12F*F1 2*2L_2L2 FR^FFL*^
1*L^1_1212R1 _*_L*2L2 FR^FFL*^
2*2F1_11F*R1 2*2L_2L2 FR^FFL*^
2*L*1_12F*11 2*2L_2L2 FR^FFL*^
2*L21_12F*R1 _*2L_2L2 FR^FFL*^
2*L21_12F*R1 _*2L_2L2 FR^FFL*^
2FL*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2_L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
22L*11121*LL 2*2LF2L2 FR^FFL*^
2*L*1_121RL1 2_2L_2L2 FR^FFL*^
F*L*1_121*L1 _22LF2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L*1_121*L1 _22LF2L2 FR^FFL*^
2*L*2_121*21 _*2L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L*1_121*L1 22L_2L2^ FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_121*F1 _22L_2L2 FR^FFL*^
22L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L21_121*L2 _*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L21F121*L1 **2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 F22L_2L2 FR^FFL*^
2*L*1_121*R1 _22L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L2*1121**1 _*2L_2L2 FR^FFL*^
F*L*1_121*L* 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L21_1211L1 _*2L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2_L*1_121*LR _22L_2L2 FR^FFL*^
2*L*11121*L1 _22L_2L2 FR^FFL*^
2*L*1_121*LR 2*2L_2L2 FR^FFL*^
F*L*1_1_1RLR 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 F22L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_121*F1 2*2L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L_1_121*L1 2*2L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2_L21_121*L1 _*2L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L*1_121*21 _22L_2L2 FR^FFL*^
2*L*1_1*1^L1 _22L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1^121*L1 _22L_2L2 FR^FFL*^
2*L*12121*L1 _22L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121FL1 _22L_2L2 FR^FFL*^
2*L*1^121*L2 _22L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*2_1212F1 _*2L_2L2 FR^FFL*^
2FL21_121*21 _*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2^L*1_121*L2 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2^L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2_L21_121*L1 _*2L_2L2 FR^FFL*^
2*L21_121*L1 F*2L_2L2 FR^FFL*^
2*L21_121*11 _*2L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_1*1*L1 F22L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L21^121*L1 _*2L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L21_121RL1 _*2L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*12121*LR _22L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
F2L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L*1_121LL1 _22L^2L2 FR^FFL*^
2*L21_121*L1 _*2LF2L2 FR^FFL*^
2*L*1_121*L1 2*2L*2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_121*L^ 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2_L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121*L1 *22L_2L2 FR^FFL*^
2*LF1_1*1*L1 2F2L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2*L*1_121^L1 _22L_2L2 FR^FFL*^
2*L*1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_121*L1 2*2L_2L2 FR^FFL*^
2FL*1_121_L1 _*22L2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*LF1_121*L1 _22L_2L2 FR^FFL*^
2*L*1_1*1*L1 2*2L_2L2 FR^FFL*^
2*L21_121*L1 _*2L_2L2 FR^FFL*^
2*L112121^L2 R^2__2LF FR^FF^_*
2*L112121^L2 R^2__2LF FR^FF^_*
2*L112121^L2 R^2__2LF FR^FF^_*
2*L112121^L2 R^2__2LF FR^FF^_*
2*L112121^L2 R^2__2LF FR^FF^_*
2*L112121^L2 R^2__2LF FR^FF^_*
2*L112121^L2 R^2__2LF FR^FF^_*
2*L112121^L2 R^2__2LF FR^FF^_*
2*L112121^L2 R^2__2LF FR^FF^_*
2*L11F121^^1 _*2_^2LF FR^FFL_*
2*L11F121^^1 _*2_^2LF FR^FFL_*
2*L11F121^^1 _*2_^2LF FR^FFL_*
2*L11F121^^1 _*2_^2LF FR^FFL_*
2*L11F121^^1 _*2_^2LF FR^FFL_*
2*L11F121^^1 __2_^2LF FR^FFL_*
2*L11F121^^1 _*2_^2LF FR^FFL_*
2*L11F121^^1 _*2_^2LF FR^FFL_*
2*L11F121^^1 _*2_^2LF FR^FFL_*
2*L11F121^^1 _*2_^2LF FR^FFL_*
2*L11F121^^1 _*2_^2LF FR^FFL_*
2_1F11121221 _*2L__2^ FR^FFFL*
2L21*121LL1_ **2L^2L2 FR^FF*L^
2_LF1_1212L1 _22L_2L2 FR^FF*L^
*LF1_1212L1_ 22L22L2^ FR*FF*^L
22L21_1^F2*2 L2^___L2 FR^F^L*_
2FL21F1^F2*2 L2^___L2 FR^F^L*_
22L21_1^F2*2 L2^___L2 FR^F^L*_
22L21_1^F2*2 L2^___L2 FR^F^L*_
21L11_1^F2*2 L2^___L2 FR^F^L*_
2FL21_1^F2*2 L2^*__L2 FR^F^L*_
21L11_1^F2*2 L2^___L2 FR^F^L*_
22L21_1^F2*2 L2^___L2 FR^F^L*_
22L21_1^F2*2 L2^___L2 FR^F^L*_
2FL21_1^F2*2 L2^___L2 FR^F^L*_
21L11_1^F2*2 L2^___L2 FR^F^L*_
21L11_1^F2*2 L2^___L2 FR^F^L*_
22L21_1^F2*2 L2^___L2 FR^F^L*_
21L11_1^F2*2 L2^___L2 FR^F^L*_
21L2111^F2*2 L2^___L2 FR^F^L*_
21L*111^F2*2 L2^___L2 FR^F^L*_
21L2111^F2*2 L2^___L2 FR^F^L*_
21L11_1^F2*2 L2^___L2 FR^F^L*_
22L21_1^F2*2 L2^___L2 FR^F^L*_
2FL21_1^F2*2 L2^___L2 FR^F^L*_
21L11_1^F2*2 L2^___L2 FR^F^L*_
2FL21_1^F2*2 L2^___L2 FR^F^L*_
21L2111^F2*2 L2^___L2 FR^F^L*_
2FL21_1^F2*2 L2^___L2 FR^F^L*_
22L21_1^F2*2 L2^___L2 FR^F^L*_
11L21_1^F2^2 L2^___L2 FR^F^L*_
11L21_1^F2*2 L2^___L2 FR^F^L*_
21L2111^F2*2 L2^*__L2 FR^F^L*_
21L2111^F2*2 L2^___L2 FR^F^L*_
22L21_1^F2*2 L2^___L2 FR^F^L*_
2FL21_1^F2*2 L2^___L2 FR^F^L*_
2FL21_1^F2*2 L2^___L2 FR^F^L*_
21L2111^F2*2 L2^___L2 FR^F^L*_
11L21_1^F2*2 L2^___L2 FR^F^L*_
